A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,678.5,61,709
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,155.5,35,173
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,99.5,37,118
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,257.5,49,282
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,276.5,63,308
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,537.0,86,580
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,574.5,79,614
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,643.5,97,692
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,670.0,92,716
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,150.5,19,160
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,165.5,27,179
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,170.0,8,174
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,165.5,9,170
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,392.0,54,419
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,280.5,31,296
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,430.5,39,450
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,783.5,127,847
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,752.5,111,808
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,565.0,44,587
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,160.5,5,163
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,165.5,21,176
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,167.0,14,174
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1199.5,101,1250
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,420.5,61,451
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,451.5,59,481
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1152.5,151,1228
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,998.0,202,1099
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,806.5,65,839
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,358.0,74,395
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,385.5,57,414
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,5.0,0,5
