A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,131.0,2,132
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,985.5,53,1012
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,120.0,8,124
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,126.5,27,140
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,61.5,5,64
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,494.5,87,538
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,518.5,73,555
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,50.0,0,50
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,54.0,0,54
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,903.0,206,1006
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,986.0,128,1050
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,212.5,45,235
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,254.0,68,288
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,54.5,15,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,56.0,8,60
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,278.5,15,286
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,264.0,40,284
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,533.5,39,553
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,340.5,45,363
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,505.0,30,520
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1364.5,153,1441
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1291.0,160,1371
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,503.0,72,539
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,267.0,10,272
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,56.0,6,59
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,177.5,9,182
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1547.5,137,1616
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,52.0,18,61
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,52.0,10,57
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,255.0,60,285
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,513.5,75,551
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,511.0,40,531
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,334.5,71,370
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1519.5,225,1632
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1346.5,281,1487
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1354.0,154,1431
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,427.0,94,474
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,470.5,61,501
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,51.0,2,52
